Age,Gender,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Time per Day (hrs),Material Level,IQ,Consistency,Health,Assessment Score,Health Description,Consistency_Num,Material_Level_Num,Student_Level_Num,Course_Level_Num
11,Male,Other,Middle,Beginner,Beginner,Biology,1.8,Intermediate,127,Regular,1,58,Very Poor,1,2,1,1
5,Female,Teacher,Low,Beginner,Beginner,Chemistry,1.4,Intermediate,86,Irregular,4,61,Good,0,2,1,1
15,Female,Unemployed,Low,Advanced,Advanced,Chemistry,3.5,Advanced,102,Regular,4,100,Good,1,3,3,3
14,Female,Farmer,High,Advanced,Intermediate,Biology,2.3,Intermediate,98,Regular,1,55,Very Poor,1,2,3,2
17,Male,Government Employee,Low,Intermediate,Intermediate,Math,2.5,Intermediate,84,Irregular,5,79,Excellent,0,2,2,2
17,Female,Government Employee,Low,Advanced,Advanced,Physics,6.4,Advanced,78,Irregular,5,76,Excellent,0,3,3,3
6,Male,Other,High,Beginner,Beginner,Math,1.4,Intermediate,77,Regular,3,45,Average,1,2,1,1
13,Female,Doctor,Low,Beginner,Beginner,History,1.0,Beginner,65,Regular,2,29,Poor,1,1,1,1
5,Male,Artist,Middle,Beginner,Beginner,Chemistry,1.2,Beginner,102,Irregular,4,67,Good,0,1,1,1
9,Male,Other,High,Intermediate,Intermediate,Chemistry,4.7,Intermediate,131,Irregular,1,69,Very Poor,0,2,2,2
7,Male,Unemployed,Low,Beginner,Beginner,Science,2.2,Beginner,103,Regular,2,63,Poor,1,1,1,1
15,Male,Doctor,High,Intermediate,Intermediate,Computer Science,1.9,Intermediate,77,Regular,5,71,Excellent,1,2,2,2
13,Female,Unemployed,Low,Beginner,Beginner,English,2.4,Intermediate,92,Irregular,3,61,Average,0,2,1,1
12,Male,Business Owner,High,Beginner,Beginner,History,1.9,Beginner,71,Irregular,3,43,Average,0,1,1,1
16,Male,Other,High,Intermediate,Intermediate,Computer Science,2.7,Advanced,80,Irregular,5,69,Excellent,0,3,2,2
12,Female,Business Owner,High,Beginner,Beginner,Geography,1.4,Beginner,108,Regular,2,59,Poor,1,1,1,1
14,Male,Doctor,Middle,Intermediate,Intermediate,Computer Science,2.0,Beginner,132,Irregular,3,68,Average,0,1,2,2
5,Male,Government Employee,Middle,Beginner,Beginner,Computer Science,0.1,Beginner,97,Regular,2,34,Poor,1,1,1,1
11,Male,Unemployed,High,Intermediate,Intermediate,Math,1.7,Intermediate,90,Irregular,2,54,Poor,0,2,2,2
16,Female,Farmer,Low,Advanced,Advanced,Chemistry,4.2,Intermediate,113,Regular,2,65,Poor,1,2,3,3
15,Female,Government Employee,Middle,Advanced,Advanced,Physics,5.5,Intermediate,117,Irregular,2,59,Poor,0,2,3,3
4,Male,Artist,Low,Beginner,Beginner,Physics,0.1,Beginner,77,Regular,1,34,Very Poor,1,1,1,1
7,Female,Farmer,Middle,Beginner,Beginner,Art,1.8,Beginner,71,Irregular,4,60,Good,0,1,1,1
13,Male,Doctor,Low,Intermediate,Advanced,History,1.8,Intermediate,126,Irregular,4,67,Good,0,2,2,3
7,Female,Artist,Low,Beginner,Beginner,Chemistry,1.7,Beginner,109,Regular,1,48,Very Poor,1,1,1,1
6,Male,Other,Middle,Beginner,Intermediate,Biology,0.2,Beginner,85,Irregular,4,60,Good,0,1,1,2
9,Female,Other,Middle,Intermediate,Intermediate,Biology,1.8,Intermediate,77,Regular,4,77,Good,1,2,2,2
7,Male,Other,High,Beginner,Intermediate,Chemistry,3.1,Beginner,114,Irregular,2,37,Poor,0,1,1,2
15,Male,Other,High,Intermediate,Intermediate,Computer Science,1.0,Advanced,78,Regular,3,61,Average,1,3,2,2
8,Male,Government Employee,High,Beginner,Beginner,Art,3.2,Beginner,95,Regular,3,66,Average,1,1,1,1
12,Male,Unemployed,Low,Intermediate,Advanced,Art,3.0,Advanced,137,Regular,1,54,Very Poor,1,3,2,3
7,Male,Farmer,Middle,Beginner,Beginner,Art,2.3,Beginner,112,Regular,4,84,Good,1,1,1,1
8,Female,Other,Middle,Intermediate,Beginner,Science,0.5,Beginner,105,Irregular,2,50,Poor,0,1,2,1
7,Male,Unemployed,High,Beginner,Beginner,Biology,1.1,Beginner,105,Irregular,3,53,Average,0,1,1,1
7,Female,Engineer,High,Beginner,Beginner,Geography,2.4,Beginner,67,Irregular,5,50,Excellent,0,1,1,1
9,Male,Teacher,High,Intermediate,Intermediate,Math,3.3,Advanced,79,Irregular,1,45,Very Poor,0,3,2,2
6,Female,Teacher,High,Beginner,Beginner,English,1.8,Intermediate,121,Regular,4,88,Good,1,2,1,1
13,Male,Teacher,High,Intermediate,Intermediate,Biology,1.7,Advanced,108,Regular,4,57,Good,1,3,2,2
4,Male,Business Owner,Low,Beginner,Beginner,Physics,1.5,Intermediate,80,Regular,1,28,Very Poor,1,2,1,1
8,Female,Engineer,Low,Beginner,Beginner,Math,0.7,Beginner,110,Regular,2,53,Poor,1,1,1,1
11,Male,Unemployed,High,Intermediate,Intermediate,Science,1.2,Advanced,114,Regular,4,58,Good,1,3,2,2
10,Male,Unemployed,High,Beginner,Beginner,Chemistry,0.6,Beginner,73,Regular,4,58,Good,1,1,1,1
17,Female,Government Employee,Low,Intermediate,Intermediate,English,1.3,Intermediate,95,Regular,3,61,Average,1,2,2,2
3,Male,Other,Middle,Beginner,Beginner,Computer Science,1.1,Beginner,128,Irregular,2,55,Poor,0,1,1,1
6,Female,Teacher,Middle,Beginner,Beginner,Chemistry,1.6,Beginner,78,Regular,5,47,Excellent,1,1,1,1
14,Male,Doctor,Low,Intermediate,Advanced,Math,7.2,Advanced,121,Irregular,2,86,Poor,0,3,2,3
8,Male,Unemployed,High,Beginner,Beginner,Computer Science,0.5,Beginner,103,Regular,1,22,Very Poor,1,1,1,1
14,Female,Doctor,Low,Intermediate,Intermediate,Physics,2.0,Advanced,75,Regular,5,79,Excellent,1,3,2,2
13,Male,Doctor,Low,Beginner,Beginner,History,1.3,Beginner,126,Regular,2,61,Poor,1,1,1,1
6,Female,Engineer,High,Beginner,Intermediate,Math,2.4,Beginner,76,Regular,5,63,Excellent,1,1,1,2
14,Male,Other,High,Advanced,Advanced,Math,2.7,Intermediate,80,Regular,4,73,Good,1,2,3,3
14,Female,Artist,Low,Advanced,Advanced,History,5.9,Advanced,85,Irregular,3,77,Average,0,3,3,3
12,Female,Other,Middle,Intermediate,Beginner,Math,1.6,Beginner,94,Regular,4,73,Good,1,1,2,1
5,Male,Teacher,High,Beginner,Beginner,Chemistry,2.0,Beginner,70,Regular,5,63,Excellent,1,1,1,1
7,Male,Other,Middle,Beginner,Beginner,Computer Science,0.7,Beginner,91,Regular,2,45,Poor,1,1,1,1
13,Female,Farmer,High,Intermediate,Intermediate,Geography,2.1,Intermediate,111,Regular,5,92,Excellent,1,2,2,2
15,Female,Other,High,Intermediate,Intermediate,Science,3.0,Intermediate,84,Regular,2,58,Poor,1,2,2,2
16,Female,Teacher,Low,Intermediate,Advanced,Geography,3.5,Intermediate,74,Irregular,4,63,Good,0,2,2,3
18,Female,Teacher,Middle,Advanced,Advanced,Physics,1.6,Advanced,120,Irregular,4,81,Good,0,3,3,3
17,Female,Business Owner,Low,Advanced,Advanced,Physics,2.2,Advanced,107,Regular,3,76,Average,1,3,3,3
6,Male,Other,Middle,Beginner,Beginner,Computer Science,0.6,Beginner,138,Irregular,5,60,Excellent,0,1,1,1
10,Female,Artist,Low,Beginner,Beginner,Science,0.9,Beginner,74,Irregular,4,59,Good,0,1,1,1
9,Female,Other,High,Beginner,Beginner,Art,1.0,Intermediate,90,Irregular,5,60,Excellent,0,2,1,1
10,Male,Engineer,Middle,Beginner,Beginner,Math,2.6,Beginner,98,Irregular,4,61,Good,0,1,1,1
10,Female,Farmer,Middle,Beginner,Beginner,Art,1.8,Beginner,109,Irregular,5,70,Excellent,0,1,1,1
14,Female,Other,Low,Intermediate,Intermediate,History,3.2,Intermediate,129,Regular,4,88,Good,1,2,2,2
5,Male,Farmer,Middle,Beginner,Beginner,Math,2.5,Beginner,121,Irregular,2,61,Poor,0,1,1,1
7,Male,Engineer,Middle,Beginner,Intermediate,Geography,2.7,Intermediate,128,Irregular,2,55,Poor,0,2,1,2
14,Female,Artist,Middle,Advanced,Advanced,Biology,1.8,Intermediate,107,Irregular,2,60,Poor,0,2,3,3
15,Male,Other,Low,Intermediate,Beginner,Geography,2.9,Beginner,129,Regular,3,78,Average,1,1,2,1
18,Female,Farmer,Low,Intermediate,Advanced,Science,3.4,Advanced,105,Irregular,4,81,Good,0,3,2,3
13,Male,Farmer,High,Intermediate,Intermediate,English,0.8,Advanced,69,Regular,2,40,Poor,1,3,2,2
16,Female,Government Employee,Middle,Intermediate,Beginner,Art,0.1,Intermediate,118,Irregular,4,73,Good,0,2,2,1
13,Female,Unemployed,High,Intermediate,Intermediate,Science,2.2,Intermediate,85,Regular,5,81,Excellent,1,2,2,2
11,Female,Business Owner,High,Intermediate,Advanced,Science,4.9,Advanced,95,Irregular,4,78,Good,0,3,2,3
18,Female,Business Owner,High,Advanced,Advanced,Chemistry,2.8,Advanced,122,Regular,4,81,Good,1,3,3,3
16,Male,Other,Middle,Advanced,Advanced,Computer Science,5.3,Advanced,101,Irregular,2,72,Poor,0,3,3,3
16,Male,Farmer,High,Intermediate,Intermediate,Chemistry,4.2,Intermediate,97,Regular,2,56,Poor,1,2,2,2
11,Male,Government Employee,Middle,Intermediate,Advanced,Chemistry,2.7,Intermediate,93,Regular,1,50,Very Poor,1,2,2,3
6,Male,Unemployed,Low,Beginner,Beginner,Science,1.0,Beginner,89,Irregular,2,48,Poor,0,1,1,1
16,Female,Artist,Low,Advanced,Intermediate,Chemistry,0.6,Intermediate,92,Regular,3,54,Average,1,2,3,2
18,Female,Farmer,Low,Advanced,Advanced,Geography,3.4,Advanced,105,Irregular,3,75,Average,0,3,3,3
16,Male,Doctor,Low,Advanced,Advanced,Biology,4.1,Intermediate,121,Irregular,2,69,Poor,0,2,3,3
8,Female,Doctor,Middle,Intermediate,Beginner,Computer Science,2.1,Beginner,87,Regular,3,47,Average,1,1,2,1
13,Male,Business Owner,Low,Beginner,Intermediate,Chemistry,1.7,Advanced,94,Irregular,4,69,Good,0,3,1,2
9,Female,Government Employee,Low,Intermediate,Advanced,Science,3.1,Advanced,71,Irregular,1,44,Very Poor,0,3,2,3
6,Male,Farmer,Low,Beginner,Beginner,Chemistry,2.8,Beginner,111,Irregular,1,61,Very Poor,0,1,1,1
14,Female,Engineer,High,Advanced,Advanced,History,2.4,Advanced,120,Regular,5,83,Excellent,1,3,3,3
14,Female,Engineer,Low,Advanced,Advanced,Science,3.1,Advanced,99,Regular,4,85,Good,1,3,3,3
6,Male,Other,Middle,Beginner,Beginner,Physics,0.8,Beginner,82,Irregular,4,58,Good,0,1,1,1
14,Male,Doctor,Low,Advanced,Advanced,Physics,6.5,Advanced,115,Regular,3,94,Average,1,3,3,3
14,Female,Other,Low,Intermediate,Beginner,Physics,1.4,Beginner,96,Irregular,2,37,Poor,0,1,2,1
16,Male,Doctor,High,Advanced,Advanced,Science,5.4,Intermediate,126,Regular,1,72,Very Poor,1,2,3,3
15,Female,Teacher,High,Advanced,Advanced,Science,3.9,Intermediate,104,Regular,5,88,Excellent,1,2,3,3
17,Male,Government Employee,Middle,Intermediate,Intermediate,Biology,2.4,Intermediate,79,Irregular,3,54,Average,0,2,2,2
7,Female,Other,Low,Beginner,Beginner,Computer Science,1.2,Beginner,106,Irregular,2,57,Poor,0,1,1,1
5,Male,Business Owner,Middle,Beginner,Intermediate,Chemistry,1.7,Intermediate,128,Irregular,4,81,Good,0,2,1,2
5,Female,Government Employee,Low,Beginner,Intermediate,English,4.5,Beginner,85,Regular,4,83,Good,1,1,1,2
10,Female,Artist,Middle,Intermediate,Intermediate,Biology,4.3,Beginner,71,Regular,5,84,Excellent,1,1,2,2
4,Male,Teacher,Low,Beginner,Beginner,Art,1.1,Intermediate,118,Irregular,4,65,Good,0,2,1,1
18,Female,Artist,Low,Advanced,Advanced,Biology,5.8,Intermediate,89,Regular,1,52,Very Poor,1,2,3,3
14,Female,Doctor,Low,Intermediate,Intermediate,Chemistry,1.7,Intermediate,101,Irregular,4,54,Good,0,2,2,2
16,Male,Other,Low,Advanced,Advanced,Geography,1.9,Intermediate,110,Regular,2,75,Poor,1,2,3,3
15,Male,Engineer,Middle,Intermediate,Beginner,Biology,1.8,Beginner,135,Irregular,2,72,Poor,0,1,2,1
4,Female,Doctor,High,Beginner,Beginner,English,1.7,Beginner,89,Regular,5,58,Excellent,1,1,1,1
5,Female,Government Employee,Low,Beginner,Beginner,English,1.6,Beginner,95,Regular,3,61,Average,1,1,1,1
10,Female,Doctor,High,Beginner,Beginner,Physics,2.3,Intermediate,95,Regular,1,54,Very Poor,1,2,1,1
8,Female,Doctor,Low,Beginner,Beginner,Science,0.3,Beginner,140,Irregular,1,39,Very Poor,0,1,1,1
7,Male,Other,Low,Beginner,Beginner,Math,0.9,Beginner,126,Irregular,1,32,Very Poor,0,1,1,1
17,Female,Teacher,High,Advanced,Advanced,Physics,2.5,Advanced,88,Irregular,5,92,Excellent,0,3,3,3
14,Female,Doctor,Low,Advanced,Advanced,History,2.1,Advanced,121,Regular,5,98,Excellent,1,3,3,3
6,Male,Unemployed,Middle,Beginner,Beginner,Geography,2.6,Beginner,119,Irregular,1,38,Very Poor,0,1,1,1
9,Male,Doctor,Middle,Intermediate,Intermediate,English,1.5,Beginner,104,Regular,3,80,Average,1,1,2,2
16,Male,Engineer,Low,Intermediate,Advanced,Art,2.8,Advanced,115,Irregular,3,71,Average,0,3,2,3
5,Male,Teacher,Low,Beginner,Beginner,Biology,1.1,Beginner,97,Regular,3,68,Average,1,1,1,1
7,Female,Business Owner,High,Beginner,Beginner,Art,0.5,Intermediate,81,Regular,4,44,Good,1,2,1,1
13,Male,Doctor,Low,Intermediate,Intermediate,History,2.0,Intermediate,92,Irregular,4,63,Good,0,2,2,2
8,Female,Engineer,High,Intermediate,Intermediate,History,4.1,Advanced,90,Irregular,4,84,Good,0,3,2,2
9,Female,Unemployed,High,Intermediate,Intermediate,Computer Science,3.6,Beginner,83,Regular,5,73,Excellent,1,1,2,2
18,Male,Other,High,Advanced,Advanced,Art,2.2,Advanced,135,Irregular,5,88,Excellent,0,3,3,3
4,Female,Doctor,High,Beginner,Beginner,Math,1.6,Beginner,110,Regular,5,65,Excellent,1,1,1,1
12,Male,Business Owner,Middle,Intermediate,Intermediate,Art,1.7,Intermediate,103,Regular,1,48,Very Poor,1,2,2,2
14,Male,Teacher,Middle,Advanced,Advanced,Chemistry,3.6,Advanced,91,Irregular,5,78,Excellent,0,3,3,3
8,Female,Unemployed,Low,Beginner,Beginner,Computer Science,2.3,Beginner,99,Irregular,2,51,Poor,0,1,1,1
5,Male,Teacher,Middle,Beginner,Beginner,History,2.3,Intermediate,107,Irregular,4,78,Good,0,2,1,1
9,Male,Artist,Middle,Beginner,Beginner,Chemistry,1.6,Intermediate,91,Regular,4,69,Good,1,2,1,1
5,Male,Unemployed,Middle,Beginner,Beginner,Biology,0.8,Beginner,119,Regular,4,66,Good,1,1,1,1
14,Male,Business Owner,Low,Advanced,Advanced,Science,6.0,Advanced,67,Irregular,2,70,Poor,0,3,3,3
15,Male,Engineer,High,Intermediate,Intermediate,History,2.6,Intermediate,115,Irregular,1,60,Very Poor,0,2,2,2
18,Male,Doctor,High,Advanced,Advanced,Computer Science,5.5,Advanced,92,Regular,2,72,Poor,1,3,3,3
12,Female,Engineer,Low,Beginner,Beginner,Math,1.1,Beginner,75,Regular,2,46,Poor,1,1,1,1
10,Female,Business Owner,High,Intermediate,Beginner,Physics,2.0,Beginner,113,Irregular,4,80,Good,0,1,2,1
7,Male,Artist,High,Beginner,Intermediate,English,2.4,Beginner,103,Irregular,1,30,Very Poor,0,1,1,2
10,Female,Other,Middle,Beginner,Intermediate,Computer Science,2.6,Intermediate,83,Irregular,5,85,Excellent,0,2,1,2
14,Male,Government Employee,Middle,Advanced,Advanced,Physics,2.1,Advanced,81,Regular,4,81,Good,1,3,3,3
14,Male,Unemployed,High,Advanced,Advanced,Computer Science,3.3,Intermediate,97,Regular,2,66,Poor,1,2,3,3
4,Female,Engineer,Middle,Beginner,Beginner,History,0.5,Beginner,109,Regular,2,44,Poor,1,1,1,1
4,Female,Government Employee,High,Beginner,Beginner,Geography,1.5,Beginner,94,Regular,3,51,Average,1,1,1,1
18,Male,Doctor,Low,Advanced,Advanced,Physics,1.7,Advanced,69,Regular,3,63,Average,1,3,3,3
13,Female,Artist,Low,Beginner,Beginner,Computer Science,2.2,Beginner,109,Irregular,5,78,Excellent,0,1,1,1
6,Male,Teacher,High,Beginner,Beginner,Math,0.9,Beginner,89,Irregular,1,35,Very Poor,0,1,1,1
15,Male,Farmer,Low,Advanced,Advanced,Geography,5.0,Advanced,92,Irregular,4,71,Good,0,3,3,3
10,Male,Farmer,High,Intermediate,Beginner,Art,2.5,Beginner,117,Irregular,3,67,Average,0,1,2,1
17,Female,Teacher,High,Intermediate,Intermediate,Art,2.1,Intermediate,72,Irregular,3,51,Average,0,2,2,2
18,Male,Farmer,Low,Intermediate,Intermediate,Physics,1.3,Intermediate,131,Irregular,3,55,Average,0,2,2,2
5,Female,Teacher,High,Beginner,Intermediate,Science,1.4,Intermediate,82,Regular,5,63,Excellent,1,2,1,2
11,Female,Other,Low,Beginner,Beginner,Chemistry,1.0,Beginner,98,Irregular,4,46,Good,0,1,1,1
13,Male,Business Owner,Middle,Intermediate,Beginner,Math,1.0,Beginner,99,Irregular,1,36,Very Poor,0,1,2,1
11,Male,Government Employee,High,Beginner,Beginner,Physics,0.8,Intermediate,74,Irregular,3,45,Average,0,2,1,1
13,Female,Unemployed,Low,Beginner,Beginner,Math,0.5,Beginner,100,Regular,3,64,Average,1,1,1,1
5,Female,Unemployed,Middle,Beginner,Beginner,History,1.3,Beginner,94,Regular,4,59,Good,1,1,1,1
4,Female,Artist,High,Beginner,Intermediate,Physics,1.6,Advanced,78,Regular,3,63,Average,1,3,1,2
8,Male,Farmer,Low,Beginner,Beginner,Chemistry,0.8,Beginner,101,Irregular,5,80,Excellent,0,1,1,1
6,Female,Farmer,High,Beginner,Beginner,Computer Science,2.3,Intermediate,93,Regular,2,56,Poor,1,2,1,1
8,Male,Other,High,Beginner,Beginner,Computer Science,1.7,Beginner,126,Irregular,4,83,Good,0,1,1,1
5,Female,Teacher,Middle,Beginner,Beginner,Math,1.3,Beginner,124,Regular,1,46,Very Poor,1,1,1,1
13,Male,Other,High,Intermediate,Intermediate,Biology,1.2,Intermediate,72,Regular,2,44,Poor,1,2,2,2
10,Female,Government Employee,High,Beginner,Intermediate,Computer Science,2.7,Beginner,107,Regular,1,47,Very Poor,1,1,1,2
12,Female,Government Employee,High,Intermediate,Advanced,Computer Science,2.3,Advanced,90,Regular,2,65,Poor,1,3,2,3
14,Male,Engineer,Middle,Intermediate,Beginner,History,2.8,Beginner,131,Regular,4,84,Good,1,1,2,1
13,Female,Unemployed,High,Beginner,Beginner,Art,1.1,Beginner,113,Regular,2,49,Poor,1,1,1,1
15,Female,Engineer,Low,Intermediate,Intermediate,Chemistry,2.6,Intermediate,78,Irregular,3,62,Average,0,2,2,2
17,Male,Doctor,Low,Intermediate,Beginner,Art,0.2,Intermediate,92,Irregular,1,30,Very Poor,0,2,2,1
3,Male,Other,Low,Beginner,Beginner,Biology,0.7,Beginner,97,Irregular,5,63,Excellent,0,1,1,1
15,Female,Engineer,Low,Intermediate,Beginner,Chemistry,2.5,Beginner,91,Irregular,1,43,Very Poor,0,1,2,1
4,Female,Government Employee,Middle,Beginner,Beginner,Chemistry,2.1,Beginner,93,Irregular,2,53,Poor,0,1,1,1
17,Male,Business Owner,High,Intermediate,Advanced,Geography,3.2,Advanced,116,Regular,1,80,Very Poor,1,3,2,3
16,Female,Farmer,Middle,Intermediate,Intermediate,Physics,1.1,Advanced,128,Regular,5,88,Excellent,1,3,2,2
17,Male,Farmer,Middle,Advanced,Advanced,History,2.6,Advanced,84,Regular,3,85,Average,1,3,3,3
11,Female,Artist,High,Beginner,Beginner,English,4.2,Beginner,117,Irregular,1,43,Very Poor,0,1,1,1
8,Female,Government Employee,High,Intermediate,Intermediate,Science,3.8,Beginner,104,Regular,2,72,Poor,1,1,2,2
7,Female,Artist,High,Beginner,Beginner,Art,1.5,Beginner,117,Irregular,5,78,Excellent,0,1,1,1
6,Female,Government Employee,High,Beginner,Beginner,Biology,0.9,Beginner,80,Irregular,3,48,Average,0,1,1,1
3,Male,Government Employee,Low,Beginner,Beginner,Science,1.3,Intermediate,93,Regular,1,35,Very Poor,1,2,1,1
3,Female,Teacher,High,Beginner,Beginner,Math,1.5,Beginner,103,Regular,2,57,Poor,1,1,1,1
4,Female,Farmer,Low,Beginner,Beginner,Math,0.6,Intermediate,93,Regular,2,52,Poor,1,2,1,1
18,Male,Artist,Low,Advanced,Advanced,Physics,3.2,Advanced,98,Irregular,4,76,Good,0,3,3,3
9,Female,Other,High,Intermediate,Intermediate,Science,4.2,Intermediate,99,Regular,2,71,Poor,1,2,2,2
5,Male,Other,Low,Beginner,Beginner,Physics,2.7,Beginner,88,Regular,4,79,Good,1,1,1,1
5,Male,Engineer,Low,Beginner,Beginner,Art,2.4,Beginner,111,Irregular,1,38,Very Poor,0,1,1,1
5,Male,Teacher,Middle,Beginner,Beginner,Geography,1.8,Beginner,78,Irregular,5,65,Excellent,0,1,1,1
17,Male,Business Owner,Low,Advanced,Advanced,Art,4.0,Intermediate,130,Irregular,4,84,Good,0,2,3,3
17,Female,Engineer,Middle,Intermediate,Intermediate,Science,1.3,Intermediate,86,Irregular,2,54,Poor,0,2,2,2
12,Male,Other,Middle,Beginner,Beginner,English,1.5,Beginner,128,Regular,4,73,Good,1,1,1,1
12,Male,Artist,Middle,Intermediate,Intermediate,Computer Science,1.5,Intermediate,96,Irregular,5,64,Excellent,0,2,2,2
5,Female,Government Employee,Middle,Beginner,Beginner,Chemistry,1.1,Beginner,118,Irregular,1,50,Very Poor,0,1,1,1
17,Male,Farmer,Middle,Intermediate,Beginner,Math,1.7,Beginner,84,Regular,3,68,Average,1,1,2,1
15,Male,Engineer,Low,Intermediate,Beginner,Math,2.8,Beginner,74,Regular,1,49,Very Poor,1,1,2,1
14,Male,Doctor,High,Advanced,Advanced,Science,5.2,Advanced,99,Regular,2,74,Poor,1,3,3,3
14,Male,Doctor,High,Intermediate,Intermediate,Biology,2.0,Beginner,114,Regular,3,64,Average,1,1,2,2
9,Female,Government Employee,High,Intermediate,Beginner,History,2.4,Intermediate,139,Irregular,3,79,Average,0,2,2,1
14,Female,Unemployed,Low,Intermediate,Intermediate,Chemistry,2.6,Intermediate,89,Irregular,2,47,Poor,0,2,2,2
4,Female,Engineer,High,Beginner,Beginner,History,3.3,Beginner,136,Regular,1,61,Very Poor,1,1,1,1
15,Female,Doctor,High,Intermediate,Intermediate,Science,2.1,Advanced,74,Regular,3,72,Average,1,3,2,2
6,Female,Artist,Middle,Beginner,Beginner,Geography,0.9,Beginner,92,Regular,1,40,Very Poor,1,1,1,1
16,Male,Artist,High,Advanced,Advanced,English,2.5,Advanced,129,Irregular,3,76,Average,0,3,3,3
12,Male,Government Employee,Middle,Intermediate,Intermediate,Computer Science,2.3,Intermediate,132,Regular,3,81,Average,1,2,2,2
5,Male,Unemployed,High,Beginner,Beginner,Biology,2.0,Intermediate,115,Regular,5,75,Excellent,1,2,1,1
11,Male,Business Owner,Middle,Beginner,Intermediate,English,2.9,Beginner,75,Regular,1,42,Very Poor,1,1,1,2
8,Male,Farmer,Low,Intermediate,Intermediate,Computer Science,3.3,Advanced,129,Irregular,2,65,Poor,0,3,2,2
11,Female,Government Employee,Middle,Beginner,Beginner,Art,2.4,Intermediate,135,Irregular,2,63,Poor,0,2,1,1
8,Female,Doctor,Low,Intermediate,Intermediate,Math,1.6,Intermediate,98,Regular,3,75,Average,1,2,2,2
11,Male,Doctor,High,Intermediate,Advanced,Biology,5.0,Advanced,87,Irregular,3,63,Average,0,3,2,3
15,Male,Farmer,Middle,Intermediate,Intermediate,History,2.6,Intermediate,77,Regular,2,40,Poor,1,2,2,2
13,Female,Government Employee,Low,Intermediate,Advanced,Computer Science,3.0,Advanced,134,Irregular,3,97,Average,0,3,2,3
11,Male,Government Employee,Low,Intermediate,Intermediate,Math,2.1,Advanced,118,Regular,4,88,Good,1,3,2,2
7,Female,Farmer,High,Beginner,Beginner,English,1.1,Beginner,79,Irregular,1,30,Very Poor,0,1,1,1
14,Male,Unemployed,High,Advanced,Intermediate,Science,2.1,Intermediate,140,Irregular,2,70,Poor,0,2,3,2
17,Female,Business Owner,Low,Intermediate,Intermediate,Computer Science,1.0,Advanced,107,Regular,2,60,Poor,1,3,2,2
6,Male,Other,High,Beginner,Intermediate,History,0.4,Intermediate,74,Regular,3,65,Average,1,2,1,2
15,Female,Farmer,Middle,Intermediate,Intermediate,Science,3.4,Intermediate,70,Irregular,3,67,Average,0,2,2,2
9,Female,Other,Low,Intermediate,Intermediate,Biology,0.7,Advanced,95,Regular,3,53,Average,1,3,2,2
6,Male,Doctor,Low,Beginner,Intermediate,Physics,1.3,Advanced,105,Irregular,2,61,Poor,0,3,1,2
16,Female,Teacher,Middle,Advanced,Advanced,Geography,5.7,Advanced,78,Irregular,5,93,Excellent,0,3,3,3
7,Female,Engineer,Low,Beginner,Beginner,Physics,1.7,Beginner,99,Irregular,2,52,Poor,0,1,1,1
16,Female,Engineer,Low,Advanced,Intermediate,History,1.3,Intermediate,87,Irregular,1,41,Very Poor,0,2,3,2
16,Male,Teacher,Middle,Advanced,Advanced,Science,1.9,Advanced,116,Regular,5,92,Excellent,1,3,3,3
7,Male,Doctor,Middle,Beginner,Beginner,Chemistry,1.3,Beginner,118,Regular,2,68,Poor,1,1,1,1
18,Female,Engineer,High,Advanced,Advanced,Computer Science,2.5,Advanced,120,Regular,3,71,Average,1,3,3,3
16,Female,Farmer,Middle,Intermediate,Beginner,Physics,0.7,Intermediate,112,Regular,2,53,Poor,1,2,2,1
3,Male,Doctor,Middle,Beginner,Beginner,Geography,1.5,Intermediate,134,Irregular,5,76,Excellent,0,2,1,1
8,Female,Farmer,Low,Intermediate,Intermediate,Physics,2.0,Advanced,112,Regular,1,37,Very Poor,1,3,2,2
17,Female,Engineer,High,Advanced,Intermediate,Math,2.2,Advanced,127,Regular,2,75,Poor,1,3,3,2
18,Male,Government Employee,High,Intermediate,Beginner,Geography,3.4,Beginner,117,Irregular,2,47,Poor,0,1,2,1
9,Male,Artist,Middle,Intermediate,Intermediate,Physics,1.5,Beginner,99,Regular,5,70,Excellent,1,1,2,2
17,Male,Farmer,Low,Advanced,Advanced,Geography,1.6,Intermediate,115,Irregular,4,75,Good,0,2,3,3
9,Female,Unemployed,Middle,Beginner,Beginner,Biology,0.6,Intermediate,108,Irregular,5,64,Excellent,0,2,1,1
18,Female,Engineer,Middle,Intermediate,Advanced,Math,2.9,Advanced,109,Regular,3,85,Average,1,3,2,3
6,Male,Unemployed,High,Beginner,Intermediate,Art,2.3,Beginner,115,Irregular,3,62,Average,0,1,1,2
10,Male,Government Employee,High,Beginner,Beginner,Computer Science,1.1,Beginner,77,Regular,1,17,Very Poor,1,1,1,1
10,Female,Farmer,Low,Beginner,Beginner,Chemistry,1.6,Beginner,99,Irregular,3,51,Average,0,1,1,1
16,Female,Other,High,Intermediate,Intermediate,Math,1.8,Advanced,128,Regular,1,61,Very Poor,1,3,2,2
14,Female,Teacher,High,Advanced,Advanced,Chemistry,1.1,Advanced,102,Irregular,1,48,Very Poor,0,3,3,3
12,Female,Doctor,High,Intermediate,Advanced,Physics,4.0,Intermediate,94,Irregular,5,86,Excellent,0,2,2,3
